month,population
2022-01-31,6908213
2022-02-28,6908213
2022-04-30,7013957
2022-05-31,7013957
2022-07-31,7164550
2022-08-31,7164550
2022-10-31,7315521
2022-11-30,7315521
2023-01-31,7509538
2023-02-28,7509538
2023-04-30,7655158
2023-05-31,7655158
2023-07-31,7826367
2023-08-31,7826367
2023-10-31,7951896
2023-11-30,7951896
2024-01-31,8108753
2024-02-29,8108753
2024-04-30,8189522
2024-05-31,8189522
2024-07-31,8296385
2024-08-31,8296385
2024-10-31,8383369
2024-11-30,8383369
2025-01-31,8526679
2025-02-28,8526679
2025-04-30,8608890
2025-05-31,8608890
2025-07-31,8719980
2025-08-31,8719980
