month,public_holiday_count
2022-01,3
2022-02,0
2022-03,1
2022-04,5
2022-05,0
2022-06,1
2022-07,0
2022-08,0
2022-09,2
2022-10,0
2022-11,1
2022-12,3
2023-01,3
2023-02,0
2023-03,1
2023-04,5
2023-05,0
2023-06,1
2023-07,0
2023-08,0
2023-09,1
2023-10,0
2023-11,1
2023-12,2
2024-01,2
2024-02,0
2024-03,4
2024-04,2
2024-05,0
2024-06,1
2024-07,0
2024-08,0
2024-09,1
2024-10,0
2024-11,1
2024-12,2
2025-01,2
2025-02,0
2025-03,1
2025-04,5
2025-05,0
2025-06,1
2025-07,0
2025-08,0
2025-09,1
2025-10,0
2025-11,1
2025-12,2
