month,rainfall_mm
2022-01-01,79.6
2022-02-01,6.8
2022-03-01,54.2
2022-04-01,72.6
2022-05-01,24.2
2022-06-01,52.4
2022-07-01,36.2
2022-08-01,59.4
2022-09-01,48.8
2022-10-01,149.0
2022-11-01,73.8
2022-12-01,42.4
2023-01-01,20.2
2023-02-01,23.6
2023-03-01,48.8
2023-04-01,108.6
2023-05-01,77.8
2023-06-01,52.8
2023-07-01,20.6
2023-08-01,22.4
2023-09-01,10.8
2023-10-01,76.0
2023-11-01,42.4
2023-12-01,71.4
2024-01-01,108.8
2024-02-01,6.2
2024-03-01,2.8
2024-04-01,123.8
2024-05-01,26.4
2024-06-01,20.6
2024-07-01,72.6
2024-08-01,28.8
2024-09-01,48.0
2024-10-01,51.8
2024-11-01,63.4
2024-12-01,38.6
2025-01-01,62.6
2025-02-01,45.2
2025-03-01,40.4
2025-04-01,19.8
2025-05-01,21.2
2025-06-01,56.0
2025-07-01,37.6
2025-08-01,37.4
2025-09-01,17.6
2025-10-01,78.6
2025-11-01,127.8
2025-12-01,27.8
2026-01-01,1.6
2026-02-01,44.6
