
"Components of quarterly population change"
,"Total growth","Natural increase","Net overseas migration"
"Sep-21","-1,200","7,100","-8,300"
"Dec-21","14,300","7,400","6,900"
"Mar-22","20,500","7,200","13,300"
"Jun-22","17,900","6,900","11,000"
"Sep-22","28,100","6,300","21,800"
"Dec-22","30,200","6,600","23,600"
"Mar-23","33,400","6,900","26,500"
"Jun-23","27,800","6,700","21,100"
"Sep-23","31,900","6,800","25,100"
"Dec-23","29,400","6,900","22,500"
"Mar-24","32,600","7,000","25,600"
"Jun-24","24,800","6,800","18,000"
"Sep-24","27,900","6,900","21,000"
"Dec-24","26,100","6,700","19,400"
"Mar-25","29,800","7,100","22,700"
"Jun-25","23,500","6,900","16,600"
"Sep-25","26,700","7,000","19,700"


"Source: Australian Bureau of Statistics, National, state and territory population September 2025"
