year-month,petrol_price
2022-01,1.59
2022-02,1.70
2022-03,1.88
2022-04,1.80
2022-05,1.93
2022-06,2.01
2022-07,2.12
2022-08,1.75
2022-09,1.74
2022-10,1.80
2022-11,1.84
2022-12,1.84
2023-01,1.80
2023-02,1.95
2023-03,1.90
2023-04,1.83
2023-05,1.83
2023-06,1.89
2023-07,1.95
2023-08,1.99
2023-09,2.03
2023-10,2.01
2023-11,2.01
2023-12,1.93
2024-01,1.96
2024-02,1.92
2024-03,1.99
2024-04,1.99
2024-05,1.99
2024-06,1.98
2024-07,1.95
2024-08,1.92
2024-09,1.92
2024-10,1.85
2024-11,1.82
2024-12,1.95
2025-01,1.85
2025-02,1.83
2025-03,1.78
2025-04,1.81
2025-05,1.75
2025-06,1.86
2025-07,1.88
2025-08,1.90
2025-09,1.85
2025-10,1.84
2025-11,1.83
2025-12,1.85
2026-01,1.96
2026-02,2.00
2026-03,2.51
